,date,close,diff,open,high,low,volume
155,2020-07-17,54400,600,54200,54700,54100,10096174
154,2020-07-20,54200,200,54800,54800,54000,10507530
153,2020-07-21,55300,1100,55200,55400,54800,18297260
152,2020-07-22,54700,600,55300,55500,54700,12885057
151,2020-07-23,54100,600,54700,54700,53800,16214932
148,2020-07-24,54200,100,54000,54400,53700,10994535
147,2020-07-27,55600,1400,54300,55700,54300,21054421
146,2020-07-28,58600,3000,57000,58800,56400,48431566
145,2020-07-29,59000,400,60300,60400,58600,36476611
144,2020-07-30,59000,0,59700,60100,59000,19285354
140,2020-07-31,57900,1100,59500,59600,57700,21943345
139,2020-08-03,56800,1100,57800,57900,56700,21158940
138,2020-08-04,57300,500,57200,58100,57000,19419694
137,2020-08-05,56900,400,57300,57500,56300,17739706
136,2020-08-06,58000,1100,57100,58400,57100,21625874
133,2020-08-07,57500,500,57900,58400,57100,18751717
132,2020-08-10,57800,300,57600,58300,57500,17774291
131,2020-08-11,58200,400,58000,59500,57800,24907912
130,2020-08-12,59000,800,58200,59000,57700,18573934
129,2020-08-13,58700,300,59400,59600,58000,22089460
125,2020-08-14,58000,700,58000,58400,57700,15672548
124,2020-08-18,58400,400,58900,59900,58000,25307825
123,2020-08-19,57800,600,59000,59200,57800,16930719
122,2020-08-20,55400,2400,57600,57600,55300,30386029
121,2020-08-21,55900,500,56200,56900,55800,21142288
118,2020-08-24,56100,200,55800,56600,55400,15055896
117,2020-08-25,56400,300,56400,56800,56100,14021705
116,2020-08-26,56400,0,56400,56500,55700,17651593
115,2020-08-27,55600,800,56300,56300,55600,16196568
114,2020-08-28,55400,200,56100,56300,55400,14619888
110,2020-08-31,54000,1400,56000,56100,54000,32671367
109,2020-09-01,54200,200,54100,54800,54100,19363117
108,2020-09-02,54400,200,54600,55100,54100,16905723
107,2020-09-03,56400,2000,55600,56700,55500,28384920
106,2020-09-04,55600,800,55200,55800,55100,22139109
103,2020-09-07,56500,900,56100,57300,55800,18685880
102,2020-09-08,58700,2200,57400,58700,57200,31517520
101,2020-09-09,58400,300,58200,59300,57800,30597399
100,2020-09-10,59200,800,59900,60000,59100,29923293
99,2020-09-11,59000,200,59300,59400,58200,16017098
95,2020-09-14,60400,1400,60200,60800,59900,20648281
94,2020-09-15,61000,600,60900,61000,60500,17877075
93,2020-09-16,61000,0,61100,61300,60600,17041444
92,2020-09-17,59500,1500,60700,60800,59300,25108356
91,2020-09-18,59300,200,59800,59900,59100,18884571
88,2020-09-21,59200,100,59100,60000,59000,15140387
87,2020-09-22,58200,1000,59100,59700,57800,20830381
86,2020-09-23,58600,400,58400,58800,57400,20111398
85,2020-09-24,57800,800,57700,58600,57600,17564020
84,2020-09-25,57900,100,57700,58200,57700,11444683
80,2020-09-28,58200,300,58300,58800,57900,12614080
79,2020-09-29,58200,0,58300,59000,58200,15503563
78,2020-10-05,58700,500,57500,59200,57500,20228289
77,2020-10-06,59000,300,59400,59900,58700,14463826
76,2020-10-07,59900,900,58700,59900,58500,14861838
73,2020-10-08,59700,200,60500,60700,59500,24589924
72,2020-10-12,60400,700,60000,60400,59900,16145837
71,2020-10-13,60900,500,61000,61400,60400,19247631
70,2020-10-14,60900,0,61000,61100,60500,16086716
69,2020-10-15,60000,900,60700,60800,59700,17756232
65,2020-10-16,59500,500,60000,60400,59000,16554190
64,2020-10-19,60000,500,59600,60200,59500,14474985
63,2020-10-20,60900,900,60300,60900,60100,19326115
62,2020-10-21,60900,0,61200,61500,60600,15703443
61,2020-10-22,60100,800,60300,60500,59800,14294095
58,2020-10-23,60200,100,60400,60400,59800,9322232
57,2020-10-26,60400,200,60400,61100,60100,13268226
56,2020-10-27,59800,600,60300,60300,59500,17260416
55,2020-10-28,59000,800,59400,59400,58800,14428882
54,2020-10-29,58100,900,58200,58500,57500,22636966
50,2020-10-30,56600,1500,58000,58000,56600,26907844
49,2020-11-02,57400,800,56400,57500,56000,20489076
48,2020-11-03,58800,1400,57900,58900,57600,14950919
47,2020-11-04,58500,300,58900,59000,57800,21718561
46,2020-11-05,60300,1800,59000,60300,58800,20639475
43,2020-11-06,60100,200,60700,60800,59600,16910230
42,2020-11-09,60200,100,60700,60900,60100,15892961
41,2020-11-10,60200,0,60500,60500,59500,19073552
40,2020-11-11,61300,1100,60700,61400,60400,25628510
39,2020-11-12,61000,300,61000,61400,60700,19800573
35,2020-11-13,63200,2200,61300,63200,61000,31508829
34,2020-11-16,66300,3100,64000,66700,63900,36354334
33,2020-11-17,65700,600,67000,67000,65600,30204089
32,2020-11-18,64800,900,65700,66200,64700,22963790
31,2020-11-19,64600,200,64100,64800,63900,16590290
28,2020-11-20,64700,100,63900,65200,63900,15068682
27,2020-11-23,67500,2800,64800,67800,64700,27134398
26,2020-11-24,67700,200,67900,69500,67000,32158235
25,2020-11-25,66600,1100,67900,68300,66500,32447065
24,2020-11-26,68000,1400,66100,68000,66000,19023323
20,2020-11-27,68200,200,68000,68400,67600,14063434
19,2020-11-30,66700,1500,68400,68600,66700,43811016
18,2020-12-01,67800,1100,67100,68300,67100,22327173
17,2020-12-02,69500,1700,68400,69900,68300,29703942
16,2020-12-03,69700,200,70100,70500,69300,23677989
13,2020-12-04,71500,1800,70400,72100,70100,28130533
12,2020-12-07,72900,1400,72400,73500,71900,28490496
11,2020-12-08,71700,1200,72200,72900,71600,25000338
10,2020-12-09,73900,2200,72100,73900,72000,24077996
9,2020-12-10,72900,1000,72700,73800,72500,39882928
5,2020-12-11,73400,500,73500,73800,73100,18486672
4,2020-12-14,73800,400,73600,74500,73200,21510415
3,2020-12-15,73800,0,73800,74100,73300,20863671
2,2020-12-16,73800,0,74100,74500,73400,17512081
1,2020-12-17,73300,500,73400,73700,72600,23450603
